,geo_accession,geo_accession.1,GSE,tissue_source,disease_status,GSEid,class
278,GSM4210236,GSM4210236,GSE141661,whole blood,healthy,GSE141661,0
279,GSM1108159,GSM1108159,GSE45537,whole blood,healthy,GSE45537,0
280,GSM4209836,GSM4209836,GSE141661,whole blood,healthy,GSE141661,0
281,GSM4210148,GSM4210148,GSE141631,whole blood,healthy,GSE141631,0
282,GSM1108166,GSM1108166,GSE45537,whole blood,healthy,GSE45537,0
283,GSM4209813,GSM4209813,GSE141661,whole blood,healthy,GSE141661,0
284,GSM4210053,GSM4210053,GSE141631,whole blood,healthy,GSE141631,0
272,GSM5410709,GSM5410709,GSE179153,PBC,healthy,GSE179153,0
315,GSM4209848,GSM4209848,GSE141661,whole blood,healthy,GSE141661,0
350,GSM556447,GSM556447,GSE22356,PMBCs,healthy,GSE22356,0
317,GSM4210149,GSM4210149,GSE141661,whole blood,healthy,GSE141661,0
348,GSM4210209,GSM4210209,GSE141661,whole blood,healthy,GSE141661,0
349,GSM5410714,GSM5410714,GSE179153,PBC,healthy,GSE179153,0
351,GSM5410730,GSM5410730,GSE179153,PBC,healthy,GSE179153,0
352,GSM4209715,GSM4209715,GSE141661,whole blood,healthy,GSE141661,0
353,GSM4209649,GSM4209649,GSE141661,whole blood,healthy,GSE141661,0
354,GSM4210212,GSM4210212,GSE141631,whole blood,healthy,GSE141631,0
355,GSM9485645,GSM9485645,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
356,GSM4210078,GSM4210078,GSE141661,whole blood,healthy,GSE141661,0
357,GSM4210204,GSM4210204,GSE141661,whole blood,healthy,GSE141661,0
358,GSM9485677,GSM9485677,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
359,GSM556444,GSM556444,GSE22356,PMBCs,healthy,GSE22356,0
360,GSM556450,GSM556450,GSE22356,PMBCs,healthy,GSE22356,0
347,GSM556443,GSM556443,GSE22356,PMBCs,healthy,GSE22356,0
361,GSM9485652,GSM9485652,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
363,GSM4210232,GSM4210232,GSE141661,whole blood,healthy,GSE141661,0
364,GSM4210152,GSM4210152,GSE141631,whole blood,healthy,GSE141631,0
365,GSM4210087,GSM4210087,GSE141661,whole blood,healthy,GSE141661,0
366,GSM9485651,GSM9485651,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
367,GSM4210115,GSM4210115,GSE141661,whole blood,healthy,GSE141661,0
368,GSM9485663,GSM9485663,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
369,GSM4210069,GSM4210069,GSE141661,whole blood,healthy,GSE141661,0
370,GSM1108154,GSM1108154,GSE45537,whole blood,healthy,GSE45537,0
371,GSM4210125,GSM4210125,GSE141661,whole blood,healthy,GSE141661,0
372,GSM4210250,GSM4210250,GSE141631,whole blood,healthy,GSE141631,0
373,GSM4209729,GSM4209729,GSE141661,whole blood,healthy,GSE141661,0
258,GSM4209635,GSM4209635,GSE141661,whole blood,healthy,GSE141661,0
362,GSM4210185,GSM4210185,GSE141661,whole blood,healthy,GSE141661,0
316,GSM9485653,GSM9485653,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
346,GSM4210196,GSM4210196,GSE141631,whole blood,healthy,GSE141631,0
344,GSM9485669,GSM9485669,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
318,GSM4209626,GSM4209626,GSE141661,whole blood,healthy,GSE141661,0
319,GSM4209852,GSM4209852,GSE141661,whole blood,healthy,GSE141661,0
320,GSM4209806,GSM4209806,GSE141661,whole blood,healthy,GSE141661,0
321,GSM4210119,GSM4210119,GSE141631,whole blood,healthy,GSE141631,0
322,GSM4210107,GSM4210107,GSE141661,whole blood,healthy,GSE141661,0
323,GSM1108152,GSM1108152,GSE45537,whole blood,healthy,GSE45537,0
324,GSM4209866,GSM4209866,GSE141661,whole blood,healthy,GSE141661,0
325,GSM4210141,GSM4210141,GSE141661,whole blood,healthy,GSE141661,0
326,GSM1108161,GSM1108161,GSE45537,whole blood,healthy,GSE45537,0
327,GSM4209871,GSM4209871,GSE141661,whole blood,healthy,GSE141661,0
328,GSM5410713,GSM5410713,GSE179153,PBC,healthy,GSE179153,0
329,GSM4209804,GSM4209804,GSE141661,whole blood,healthy,GSE141661,0
345,GSM9485675,GSM9485675,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
330,GSM4209678,GSM4209678,GSE141661,whole blood,healthy,GSE141661,0
332,GSM4210208,GSM4210208,GSE141661,whole blood,healthy,GSE141661,0
333,GSM4209799,GSM4209799,GSE141661,whole blood,healthy,GSE141661,0
334,GSM4210245,GSM4210245,GSE141631,whole blood,healthy,GSE141631,0
335,GSM9485674,GSM9485674,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
336,GSM556446,GSM556446,GSE22356,PMBCs,healthy,GSE22356,0
337,GSM5410716,GSM5410716,GSE179153,PBC,healthy,GSE179153,0
338,GSM5410728,GSM5410728,GSE179153,PBC,healthy,GSE179153,0
339,GSM5410729,GSM5410729,GSE179153,PBC,healthy,GSE179153,0
340,GSM1108164,GSM1108164,GSE45537,whole blood,healthy,GSE45537,0
341,GSM4209845,GSM4209845,GSE141661,whole blood,healthy,GSE141661,0
342,GSM9485661,GSM9485661,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
343,GSM4210128,GSM4210128,GSE141631,whole blood,healthy,GSE141631,0
331,GSM4209709,GSM4209709,GSE141661,whole blood,healthy,GSE141661,0
257,GSM4209686,GSM4209686,GSE141661,whole blood,healthy,GSE141661,0
233,GSM4210055,GSM4210055,GSE141631,whole blood,healthy,GSE141631,0
255,GSM4210252,GSM4210252,GSE141661,whole blood,healthy,GSE141661,0
170,GSM4210112,GSM4210112,GSE141661,whole blood,healthy,GSE141661,0
171,GSM5410725,GSM5410725,GSE179153,PBC,healthy,GSE179153,0
172,GSM4210231,GSM4210231,GSE141631,whole blood,healthy,GSE141631,0
173,GSM4209854,GSM4209854,GSE141661,whole blood,healthy,GSE141661,0
174,GSM5158849,GSM5158849,GSE168694,peripheral blood mononuclear cells (PBMCs),healthy,GSE168694,0
175,GSM4209818,GSM4209818,GSE141661,whole blood,healthy,GSE141661,0
176,GSM4210218,GSM4210218,GSE141631,whole blood,healthy,GSE141631,0
177,GSM4210136,GSM4210136,GSE141661,whole blood,healthy,GSE141661,0
178,GSM1108155,GSM1108155,GSE45537,whole blood,healthy,GSE45537,0
179,GSM5158850,GSM5158850,GSE168694,peripheral blood mononuclear cells (PBMCs),healthy,GSE168694,0
180,GSM4210093,GSM4210093,GSE141631,whole blood,healthy,GSE141631,0
181,GSM4210164,GSM4210164,GSE141661,whole blood,healthy,GSE141661,0
182,GSM4209822,GSM4209822,GSE141661,whole blood,healthy,GSE141661,0
183,GSM4209812,GSM4209812,GSE141661,whole blood,healthy,GSE141661,0
184,GSM4209699,GSM4209699,GSE141661,whole blood,healthy,GSE141661,0
185,GSM1108168,GSM1108168,GSE45537,whole blood,healthy,GSE45537,0
186,GSM4209817,GSM4209817,GSE141661,whole blood,healthy,GSE141661,0
187,GSM4210131,GSM4210131,GSE141631,whole blood,healthy,GSE141631,0
188,GSM9485676,GSM9485676,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
189,GSM4209659,GSM4209659,GSE141661,whole blood,healthy,GSE141661,0
190,GSM4210120,GSM4210120,GSE141631,whole blood,healthy,GSE141631,0
191,GSM9485638,GSM9485638,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
192,GSM4209621,GSM4209621,GSE141661,whole blood,healthy,GSE141661,0
193,GSM4209670,GSM4209670,GSE141661,whole blood,healthy,GSE141661,0
194,GSM4210191,GSM4210191,GSE141631,whole blood,healthy,GSE141631,0
169,GSM4210171,GSM4210171,GSE141631,whole blood,healthy,GSE141631,0
168,GSM1108173,GSM1108173,GSE45537,whole blood,healthy,GSE45537,0
167,GSM5410715,GSM5410715,GSE179153,PBC,healthy,GSE179153,0
166,GSM4210150,GSM4210150,GSE141661,whole blood,healthy,GSE141661,0
140,GSM2829322,GSM2829322,GSE106087,peripheral blood;neutrophils,healthy,GSE106087,0
141,GSM4209815,GSM4209815,GSE141661,whole blood,healthy,GSE141661,0
142,GSM4210206,GSM4210206,GSE141661,whole blood,healthy,GSE141661,0
143,GSM4209692,GSM4209692,GSE141661,whole blood,healthy,GSE141661,0
144,GSM9485660,GSM9485660,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
145,GSM556441,GSM556441,GSE22356,PMBCs,healthy,GSE22356,0
146,GSM4210143,GSM4210143,GSE141631,whole blood,healthy,GSE141631,0
147,GSM4210166,GSM4210166,GSE141661,whole blood,healthy,GSE141661,0
148,GSM4210190,GSM4210190,GSE141661,whole blood,healthy,GSE141661,0
149,GSM556448,GSM556448,GSE22356,PMBCs,healthy,GSE22356,0
150,GSM4210156,GSM4210156,GSE141661,whole blood,healthy,GSE141661,0
256,GSM9485648,GSM9485648,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
195,GSM4210201,GSM4210201,GSE141631,whole blood,healthy,GSE141631,0
152,GSM4210242,GSM4210242,GSE141661,whole blood,healthy,GSE141661,0
154,GSM4209716,GSM4209716,GSE141661,whole blood,healthy,GSE141661,0
155,GSM5410718,GSM5410718,GSE179153,PBC,healthy,GSE179153,0
156,GSM4210187,GSM4210187,GSE141631,whole blood,healthy,GSE141631,0
157,GSM4209810,GSM4209810,GSE141661,whole blood,healthy,GSE141661,0
158,GSM4209640,GSM4209640,GSE141661,whole blood,healthy,GSE141661,0
159,GSM4210194,GSM4210194,GSE141631,whole blood,healthy,GSE141631,0
160,GSM4210203,GSM4210203,GSE141631,whole blood,healthy,GSE141631,0
161,GSM9485658,GSM9485658,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
162,GSM9485649,GSM9485649,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
163,GSM4209764,GSM4209764,GSE141661,whole blood,healthy,GSE141661,0
164,GSM4210205,GSM4210205,GSE141631,whole blood,healthy,GSE141631,0
165,GSM4210233,GSM4210233,GSE141661,whole blood,healthy,GSE141661,0
153,GSM1108167,GSM1108167,GSE45537,whole blood,healthy,GSE45537,0
196,GSM4209766,GSM4209766,GSE141661,whole blood,healthy,GSE141661,0
151,GSM4209808,GSM4209808,GSE141661,whole blood,healthy,GSE141661,0
198,GSM4209834,GSM4209834,GSE141661,whole blood,healthy,GSE141661,0
229,GSM4210180,GSM4210180,GSE141631,whole blood,healthy,GSE141631,0
230,GSM4210102,GSM4210102,GSE141631,whole blood,healthy,GSE141631,0
232,GSM4210228,GSM4210228,GSE141631,whole blood,healthy,GSE141631,0
234,GSM4209629,GSM4209629,GSE141661,whole blood,healthy,GSE141661,0
235,GSM4209731,GSM4209731,GSE141661,whole blood,healthy,GSE141661,0
236,GSM9485654,GSM9485654,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
237,GSM9485670,GSM9485670,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
238,GSM5410706,GSM5410706,GSE179153,PBC,healthy,GSE179153,0
239,GSM4209662,GSM4209662,GSE141661,whole blood,healthy,GSE141661,0
240,GSM5410727,GSM5410727,GSE179153,PBC,healthy,GSE179153,0
241,GSM4210122,GSM4210122,GSE141661,whole blood,healthy,GSE141661,0
242,GSM4210238,GSM4210238,GSE141631,whole blood,healthy,GSE141631,0
243,GSM4209627,GSM4209627,GSE141661,whole blood,healthy,GSE141661,0
244,GSM4209665,GSM4209665,GSE141661,whole blood,healthy,GSE141661,0
245,GSM4210129,GSM4210129,GSE141661,whole blood,healthy,GSE141661,0
246,GSM4209773,GSM4209773,GSE141661,whole blood,healthy,GSE141661,0
247,GSM4210054,GSM4210054,GSE141631,whole blood,healthy,GSE141631,0
248,GSM4210099,GSM4210099,GSE141661,whole blood,healthy,GSE141661,0
249,GSM4209787,GSM4209787,GSE141661,whole blood,healthy,GSE141661,0
250,GSM4210072,GSM4210072,GSE141661,whole blood,healthy,GSE141661,0
251,GSM4210188,GSM4210188,GSE141631,whole blood,healthy,GSE141631,0
252,GSM4210244,GSM4210244,GSE141661,whole blood,healthy,GSE141661,0
253,GSM4209690,GSM4209690,GSE141661,whole blood,healthy,GSE141661,0
254,GSM4210225,GSM4210225,GSE141631,whole blood,healthy,GSE141631,0
197,GSM4210198,GSM4210198,GSE141661,whole blood,healthy,GSE141661,0
